theme,site,n_obs,n_vfolds,target_variable,rmse,hidden_units,penalty
terrestrial_daily,DELA,616,10,le,30.039552721341174,7,4.6851285081819455e-5
terrestrial_daily,DSNY,590,10,le,19.723889377748428,7,5.0884385209966763e-8
terrestrial_daily,GRSM,574,10,le,25.27906871863535,8,8.785960261059716e-6
terrestrial_daily,GUAN,453,10,le,20.68054036508218,10,6.135699160673103e-5
terrestrial_daily,HARV,616,10,le,27.257255570694603,9,3.556427800666802e-8
terrestrial_daily,HEAL,640,10,le,11.643271733485218,9,4.173566370976212e-10
terrestrial_daily,JERC,689,10,le,27.851456404299128,5,6.319732831596909e-10
terrestrial_daily,JORN,707,10,le,16.2468519185225,8,4.571371816942348e-9
terrestrial_daily,KONA,571,10,le,26.62273435894342,9,1.3861685178019887e-5
terrestrial_daily,KONZ,662,10,le,27.4180849410247,6,0.15817201485891758
terrestrial_daily,LAJA,454,10,le,24.628139690696134,9,1.975850068426163e-5
terrestrial_daily,LENO,333,10,le,27.725885952426484,10,0.7661968803702374
terrestrial_daily,MLBS,558,10,le,15.490759713563099,10,1.4847825094512729e-10
terrestrial_daily,MOAB,695,10,le,20.844437967753855,5,1.6268997538424277e-10
terrestrial_daily,NIWO,512,10,le,21.202044336837446,10,7.2684961758864e-7
terrestrial_daily,NOGP,600,10,le,24.557571844767175,10,0.05765852096755193
terrestrial_daily,OAES,711,10,le,23.744196944992552,5,8.537882193275752e-8
terrestrial_daily,ONAQ,641,10,le,14.813077185004317,8,1.4995112434692666e-6
terrestrial_daily,ORNL,675,10,le,33.20568596217371,7,8.05525356982318e-7
terrestrial_daily,OSBS,493,10,le,13.473105228415392,10,6.421902560308522e-7
terrestrial_daily,PUUM,371,10,le,23.441706919648844,10,0.04626663981551008
terrestrial_daily,RMNP,683,10,le,17.885928281794776,8,0.06794473330978006
terrestrial_daily,SCBI,579,10,le,30.834711905451016,9,0.003742825463281861
terrestrial_daily,SERC,649,10,le,26.505767163608976,7,5.081213152970354e-9
terrestrial_daily,SJER,641,10,le,16.481466293124942,7,9.757500333896414e-5
terrestrial_daily,SOAP,447,10,le,15.412119951171432,10,0.11005034539765368
terrestrial_daily,SRER,631,10,le,14.068920098495006,9,3.7311510945145494e-7
terrestrial_daily,STEI,752,10,le,26.866412843906353,6,0.0500555650432447
terrestrial_daily,STER,498,10,le,18.019818824832917,10,3.95890430945756e-9
terrestrial_daily,TALL,476,10,le,21.214575371846664,9,2.62636594498523e-8
terrestrial_daily,TEAK,521,10,le,26.169868107481616,9,2.0209026445545087e-9
terrestrial_daily,TOOL,450,10,le,8.131340477389946,10,0.8168676856061742
terrestrial_daily,TREE,686,10,le,24.00090649820475,8,8.14218328715752e-5
terrestrial_daily,UKFS,702,10,le,31.69215126714859,7,3.7116635374376565e-8
terrestrial_daily,UNDE,669,10,le,22.490814961899414,9,0.013972839623367019
terrestrial_daily,WOOD,649,10,le,20.63730986968393,10,1.4303804804848896e-9
terrestrial_daily,WREF,493,10,le,19.771755368935416,9,0.002126429145902167
terrestrial_daily,YELL,559,10,le,20.209426543947078,9,2.7625672712785634e-10
