theme,site,n_obs,n_vfolds,target_variable,rmse,mtry,min_n,last_targets_date,importance_surface_downwelling_shortwave_flux_in_air,importance_air_temperature,importance_relative_humidity,importance_surface_downwelling_longwave_flux_in_air,importance_northward_wind,importance_eastward_wind,importance_air_pressure,importance_precipitation_flux
terrestrial_daily,KONA,491,10,nee,1.1771086232852546,2,3,12/31/2022,890.0838704590648,977.7791270177681,1059.389044267217,472.74119075765583,465.9971402355134,585.3013043713457,527.3961386593901,569.9626661627552
terrestrial_daily,KONZ,599,10,nee,0.5625524770222254,5,3,12/31/2022,383.2191795660115,720.0664017868353,1216.5802046940387,186.51690630295886,149.53218365327785,213.72108131204595,269.6824956269765,156.81346974513895
terrestrial_daily,LAJA,381,10,nee,1.1267685107191012,2,4,12/31/2022,408.06468744384847,491.1732115905313,395.3321070113871,344.7737595766651,473.7937442038851,466.1586086525914,520.688619,470.26140095219455
terrestrial_daily,LENO,266,10,nee,0.8829478667283499,4,4,12/31/2022,411.6001440397183,919.6626271035676,920.5080758052552,232.99695887871707,143.55417858849222,181.4218460256545,204.4675427056022,207.36452873193898
terrestrial_daily,MLBS,499,10,nee,0.6273620427220112,4,2,12/31/2022,526.8031525,1211.2094843770124,540.7264524339133,204.55753585338738,112.14827405181497,193.9285098267225,238.1091071216238,179.4682568782552
terrestrial_daily,MOAB,610,10,nee,0.12445479023694014,3,3,12/31/2022,23.71251832540079,17.958430335946396,13.507782460702915,8.557817710144585,13.400713846581077,24.560679071582694,8.353867408475097,9.076386288364445
terrestrial_daily,NIWO,469,10,nee,0.15057768516538858,3,4,12/31/2022,79.19375158868154,74.00828398415887,13.737373116466053,14.16300907202709,7.398531387746878,12.271788311987835,7.149356699115586,39.12009655824406
terrestrial_daily,NOGP,518,10,nee,0.580531338,2,12,12/31/2022,99.91451983599599,127.80368006095011,135.4969388413968,48.71925164026812,48.57254042489064,83.07742209279183,41.15748252527101,59.367450006948545
terrestrial_daily,OAES,634,10,nee,1.0340981287265387,1,37,12/31/2022,77.60684357596247,80.99092641023736,117.63957136837733,41.513796124886404,78.97415360482468,61.88113373465375,57.48291511753103,49.53078332215465
terrestrial_daily,ONAQ,573,10,nee,0.3949084678566574,3,14,12/31/2022,83.92639890770556,55.28062532,29.48080394235262,21.655136928315336,42.328426028269206,34.16102062504978,17.759069478182507,29.262924195708074
terrestrial_daily,ORNL,603,10,nee,0.8883794807900488,3,3,12/31/2022,1850.2085037351353,4728.924799689753,2989.2007765349276,501.6002267138376,455.6988918512244,543.9260891035598,469.1640569231608,462.6740293511839
terrestrial_daily,OSBS,462,10,nee,0.48254710290716807,2,11,12/31/2022,63.57625091009214,47.98640373649976,83.24967095349366,42.63868904898202,62.52074052298046,100.97475381165782,44.314260022820854,38.72888640072223
terrestrial_daily,PUUM,342,10,nee,0.6641773524707377,4,13,12/31/2022,35.46834601764986,45.63997157576685,70.44230643113634,35.30171844,55.8946751,53.778858251008124,97.50932827629568,41.91485988356861
terrestrial_daily,RMNP,607,10,nee,0.9499302321005292,2,32,12/31/2022,221.9176303635494,296.62757091227184,126.53144233132936,181.69588640111877,46.77041302187617,97.92873924149158,52.636491527368975,143.65003770286617
terrestrial_daily,SCBI,496,10,nee,1.0236327386390205,4,8,12/31/2022,1031.3221058445156,3094.449048361989,1904.6039303503374,252.4282806450063,186.8418898913611,295.2688339812316,734.8353396464258,248.63146653875987
terrestrial_daily,SERC,645,10,nee,1.0529793635754747,4,15,12/31/2022,797.9132766,2794.788035205448,1924.7196896100122,487.9271081628914,129.80774814350943,218.66077071926932,170.3257268333712,259.1680824194782
terrestrial_daily,SJER,570,10,nee,0.6918746590097965,3,8,12/31/2022,346.66156660736243,214.08130485932608,297.70607528551983,178.21143077142224,145.37665729640992,210.15063917805386,127.49303965699505,118.09102255659381
terrestrial_daily,SOAP,414,10,nee,0.39336809729264277,3,11,12/31/2022,71.37564988,62.15997481,48.508955028373386,31.15048753372499,18.98775451215595,45.931520615141096,24.35833783340022,21.08058622040368
terrestrial_daily,SRER,537,10,nee,0.18400588356264463,6,4,12/31/2022,56.19374606201132,17.414265259819576,21.509393612236394,10.897461016481248,13.836953839879554,19.25844990272071,12.815037775532286,19.22775148127068
terrestrial_daily,STEI,704,10,nee,0.9409421464631583,3,13,12/31/2022,786.3084548,1852.2576294262476,1929.5643584845852,145.36407282512093,227.64952070467277,363.00384420536676,332.4714610970125,284.15011191381836
terrestrial_daily,STER,456,10,nee,0.7291371056301456,1,17,12/31/2022,55.04125946,55.235400371097896,65.76371379618682,35.286198784157506,35.94827918426815,37.2031305,37.73919562958592,27.73572471989612
terrestrial_daily,TALL,427,10,nee,0.945334581,3,16,12/31/2022,89.80552353004401,134.1441900759021,448.98141548685595,71.13496254959738,100.22519536335227,171.99111234119533,173.75948921752226,82.87983999889472
terrestrial_daily,TEAK,495,10,nee,0.37025603387205314,4,4,12/31/2022,132.02367080352116,275.6956208887642,363.42642691734795,194.5174330149113,57.27628911776866,84.00316336830487,98.19745240515738,88.09032868
terrestrial_daily,TOOL,408,10,nee,0.35119971923860566,6,40,12/31/2022,18.900103218458792,79.20947023780863,14.41420412511237,1.4862113668344719,1.894030150405287,2.605126613694699,1.6900428296594039,2.7449393197944327
terrestrial_daily,TREE,628,10,nee,0.8521296420099163,3,7,12/31/2022,649.9079423,1153.2705563619277,1367.8945927761308,220.87270848598175,216.7265660262127,302.53787945144524,417.6493657284918,347.7686703131227
terrestrial_daily,UKFS,619,10,nee,0.7474112795598139,4,9,12/31/2022,375.89306919438496,848.4039653468789,621.3090811369591,130.95686825467453,98.88945993804582,174.26117027670026,347.5596960657154,120.03750812921999
terrestrial_daily,UNDE,602,10,nee,0.5500654025368608,5,4,12/31/2022,404.69832420814686,1911.6111126177957,731.8277601328385,144.89506022567753,101.58734156552924,115.3112853189358,255.1796800885595,197.03343353222678
terrestrial_daily,WOOD,588,10,nee,0.6302047325716796,6,17,12/31/2022,84.86593456299784,111.15501522538288,313.42128953773243,38.85453411415895,62.67882511875154,118.2296789259684,32.748307424764356,41.43036243
terrestrial_daily,WREF,467,10,nee,0.5480580008423293,6,2,12/31/2022,227.2947841590574,1247.4834024001614,874.0847647779076,184.3891127864748,155.42255374920072,126.67469221160015,167.75473721722304,126.15029341841772
terrestrial_daily,YELL,542,10,nee,0.2648863494711244,2,4,12/31/2022,51.707243041061275,95.72729827107898,83.82307463384677,25.83660502471228,24.30746674468237,64.79806851953037,24.810024710773053,39.13407451232424
terrestrial_daily,ABBY,583,10,le,6.383413515678181,6,11,12/31/2022,13892.744475203235,106859.46757092419,484933.9515875057,15603.66403295004,6179.257450453401,23796.242870995975,8815.764964915365,7590.974032528472
terrestrial_daily,BARR,160,10,le,3.8328213797129385,8,17,12/31/2022,470.0867758103218,14039.742302651122,4339.276611235292,97.43002945171021,240.37412475441178,408.53694557830045,102.2898657233265,269.03443325539007
